entry_price,1_month_price,3_month_price,6_month_price,8_month_price,9_month_price,12_month_price,15_month_price,symbol,Symbol,1_month_return,3_month_return,6_month_return,8_month_return,9_month_return,12_month_return,15_month_return,entry_date
19.45000076,16,21.14999962,19.10000038,18.54999924,35.09999847,23.60000038,18.75,MTNL.NS,MTNL.NS April2021,-17.73779243,8.74035367,-1.799487752,-4.627257021,80.46271001,21.33675813,-3.598975504,01-Apr-21
693.1500244,687,688.5,631.3499756,656.25,601.2999878,653.9500122,692.75,CONCOR.NS,CONCOR.NS June2021,-0.887257332,-0.670853964,-8.915825817,-5.323526382,-13.25110487,-5.655343119,-0.057711087,01-Jun-21
25.75,26.25,27.20000076,31.54999924,29.89999962,29.10000038,34.09999847,37.5,NHPC.NS,NHPC.NS June2021,1.941747573,5.631070924,22.52426888,16.11650337,13.00971022,32.42717854,45.63106796,01-Jun-21
13.80000019,14.60000038,13.05000019,16.70000076,12.05000019,12,9.100000381,9.5,IFCI.NS,IFCI.NS July2021,5.797102751,-5.434782534,21.01449661,-12.68115925,-13.04347946,-34.05796916,-31.15942124,01-Jul-21
1393.765259,1446.607422,1542.792236,1560.047974,1208.977661,1296.069824,971.8998413,829.25,PEL.NS,PEL.NS July2021,3.791324454,10.69240151,11.93046776,-13.25815782,-7.009461167,-30.26803939,-40.50289353,01-Jul-21
186.7666626,206.7833405,243.3166656,214.0500031,210.3999939,190.6000061,160.1999969,148,IEX.NS,IEX.NS September2021,10.71747901,30.27842457,14.60824971,12.65393458,2.052477381,-14.22452234,-20.75673574,01-Sep-21
111.9199982,108.1200027,98.23999786,92.95999908,88.80000305,84.72000122,83.08000183,119.7600021,PFC.NS,PFC.NS October2021,-3.39527831,-12.22301691,-16.94067137,-20.65760856,-24.30307129,-25.76840315,7.005007233,01-Oct-21
114.1500015,137.25,172.25,170.3500061,134.6499939,140.8999939,141.1000061,158.25,GMDCLTD.NS,GMDCLTD.NS February2022,20.23652927,50.89793929,49.23346809,17.95881918,23.43407097,23.60928972,38.63337528,01-Feb-22
795.3499756,769.8499756,611.3499756,620.8499756,657.0499878,693.5499878,675.5,921.2000122,CONCOR.NS,CONCOR.NS November2022,-3.206135762,-23.13446981,-21.94002708,-17.38857007,-12.79939535,-15.06883501,15.82322757,01-Nov-22
1619.5,1628.699951,1598.050049,1604,1662.25,1574.699951,1555.400024,1430.75,HDFCBANK.NS,HDFCBANK.NS December2022,0.568073552,-1.32447985,-0.95708552,2.639703612,-2.766288906,-3.958010225,-11.65483174,01-Dec-22
109.9000015,114.6999969,157.75,151.5500031,236.8999939,215.6999969,268.8999939,223.6799927,ENGINERSIN.NS,ENGINERSIN.NS June2023,4.367602689,43.53957944,37.89809003,115.5595911,96.26933026,144.6769701,103.5304728,01-Jun-23
1193.099976,967.25,942.7000122,1016.450012,841.9500122,896.9500122,977.5,,TANLA.NS,TANLA.NS August2023,-18.92967733,-20.98734125,-14.80596488,-29.43172999,-24.82188999,-18.07057078,,01-Aug-23
15.89999962,23.95000076,25.10000038,45.5,50.04999924,60.90000153,73,,IFCI.NS,IFCI.NS September2023,50.62893923,57.86164141,186.1635289,214.779877,283.0188867,359.1195079,,01-Sep-23
13.25,17,14.19999981,16,15.98999977,15.05000019,,,IDEA.NS,IDEA.NS December2023,28.30188679,7.169809881,20.75471698,20.67924356,13.5849071,,,01-Dec-23
46.45000076,42.20000076,39.70000076,38.41999817,,,,,TRIDENT.NS,TRIDENT.NS February2024,-9.149623101,-14.53175434,-17.28741111,,,,,01-Feb-24
109.3499985,106.5,112.8000031,143.1199951,,,,,SUVEN.NS,SUVEN.NS February2024,-2.606308655,3.155011089,30.88248479,,,,,01-Feb-24
37.79999924,36.20000076,33.95000076,30.97999954,,,,,INFIBEAM.NS,INFIBEAM.NS February2024,-4.232800282,-10.18518135,-18.0423276,,,,,01-Feb-24
519.0999756,484.9500122,444.1000061,532.4500122,,,,,WIPRO.NS,WIPRO.NS March2024,-6.578687148,-14.44807802,2.571765989,,,,,01-Mar-24
190.4299927,203.4100037,,,,,,,IEX.NS,IEX.NS August2024,6.816158948,,,,,,,01-Aug-24
